submission_id,question,target_picture,context_picture,experiment_id,trial_type,problems,enjoyment,item,botresponse,trials,option2,option1,understand,text,sentence,optionLeft,syntax,ref_np,target,age,response,comments,education,target_size,name,languages,sex,RT,context,trial_number,attempts,item_noun,paraphrase,fairprice,correct,adj_cond,trial_name,adj,utterance
2956,What do you think your friend is saying it is big relative to?,images/redwood_sign.png,images/tree-parade-basic.png,42,critical,No,1,trees,Barbara,NA,redwoods,trees,yes,Your friend points to something in the distance (not shown).,NA,0,subj,landmark,redwood,25,trees,NA,higher_degree,big,NA,English,female,20878,You and your friend walk to your friend's cabin in a park for the first time. You want to memorize the path and you see the following:,9,NA,trees_landmark,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That big redwood is a landmark.</b>
2956,What do you think your friend is saying it is small relative to?,images/pug_filler.png,images/dog-parade-basic2_filler.png,42,filler,No,1,dogs2,Barbara,NA,pugs,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,subj,prize-winner,pug,25,pugs,NA,higher_degree,small,NA,English,female,8876,You and your friend see the following:,10,NA,dogs2_prize,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That pug is small.</b>
2956,What do you think your friend is saying it is small relative to?,images/chihuahua.png,images/dog-parade-basic.png,42,critical,No,1,dogs1,Barbara,NA,chihuahuas,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,pred,service animal,chihuahua,25,chihuahuas,NA,higher_degree,small,NA,English,female,13640,You and your friend are at an animal training ground and you see the following:,11,NA,dogs1_service,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That service animal is a small chihuahua.</b>
2956,What do you think your friend is saying it is big relative to?,images/tuna_filler.png,images/fish-parade-basic_filler.png,42,filler,No,1,fish,Barbara,NA,tunas,fish,yes,Your friend points to something in the distance (not shown).,NA,0,subj,rescue,tuna,25,fish,NA,higher_degree,big,NA,English,female,5200,You and your friend see the following:,12,NA,fish_rescue,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That tuna is big.</b>
2956,What do you think your friend is saying it is small relative to?,images/dandelion.png,images/flower-parade-basic.png,42,critical,No,1,flowers,Barbara,NA,dandelions,flowers,yes,Your friend points to something in the distance (not shown).,NA,0,subj,present,dandelion,25,flowers,NA,higher_degree,small,NA,English,female,16052,You and your friend are at a garden store and you see the following:,13,NA,flowers_present,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That small dandelion is a present.</b>
2956,What do you think your friend is saying it is big relative to?,images/sunflower_filler.png,images/flower-parade-basic_filler.png,42,filler,No,1,flowers,Barbara,NA,sunflowers,flowers,yes,Your friend points to something in the distance (not shown).,NA,0,pred,present,sunflower,25,sunflowers,NA,higher_degree,big,NA,English,female,5258,You and your friend see the following:,14,NA,flowers_present,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That's a big sunflower.</b>
2956,What do you think your friend is saying it is big relative to?,images/doberman_filler.png,images/dog-parade-basic_filler.png,42,filler,No,1,dogs1,Barbara,NA,dobermans,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,subj,service animal,doberman,25,dobermans,NA,higher_degree,big,NA,English,female,7512,You and your friend see the following:,15,NA,dogs1_service,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That doberman is big.</b>
2956,What do you think your friend is saying it is small relative to?,images/stripmall-landmark.png,images/buildings-parade-basic.png,42,critical,No,1,buildings,Barbara,NA,strip malls,buildings,yes,Your friend points to something in the distance (not shown).,NA,0,subj,landmark,strip mall,25,buildings,NA,higher_degree,small,NA,English,female,10554,You visit your friend who lives in another city. You take a walk and you see the following:,16,NA,buildings_landmark,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That small strip mall is a landmark.</b>
2955,<i>What do you think Speaker A meant? </i>,NA,NA,42,NA,there were no glitches,1,NA,susan,1,NA,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,NA,18,tall\nbuildings,NA,graduated_high_school,NA,comp_class_warmup,english,female,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,1,NA,The Empire State Building is tall relative to other,2,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2955,<i>What do you think Speaker A meant? </i>,NA,NA,42,NA,there were no glitches,1,NA,susan,1,NA,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,NA,18,tall\nbuildings,NA,graduated_high_school,NA,comp_class_warmup,english,female,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,2,NA,The Empire State Building is tall relative to other,2,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2955,<i>What do you think Speaker A meant? </i>,NA,NA,42,NA,there were no glitches,1,NA,susan,1,NA,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,NA,18,tall\nbuildings,NA,graduated_high_school,NA,comp_class_warmup,english,female,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,3,NA,The Empire State Building is tall relative to other,2,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2955,<i>What do you think Speaker A meant? </i>,NA,NA,42,NA,there were no glitches,1,NA,susan,1,NA,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,NA,18,buildings,NA,graduated_high_school,NA,comp_class_warmup,english,female,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,4,NA,The Empire State Building is tall relative to other,2,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2955,What do you think your friend is saying it is small relative to?,images/hummingbird.png,images/bird-parade-basic.png,42,critical,there were no glitches,1,birds,susan,NA,hummingbirds,birds,yes,Your friend points to something in the distance (not shown).,NA,0,subj,rescue,hummingbird,18,birds,NA,graduated_high_school,small,NA,english,female,22494,You visit your friend who works at an animal shelter and you see the following:,1,NA,birds_rescue,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That small hummingbird is a rescue.</b>
2955,What do you think your friend is saying it is big relative to?,images/eagle_filler.png,images/bird-parade-basic_filler.png,42,filler,there were no glitches,1,birds,susan,NA,eagles,birds,yes,Your friend points to something in the distance (not shown).,NA,0,pred,rescue,eagle,18,eagles,NA,graduated_high_school,big,NA,english,female,14117,You and your friend see the following:,2,NA,birds_rescue,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That's a big eagle.</b>
2955,What do you think your friend is saying it is big relative to?,images/sunflower_filler.png,images/flower-parade-basic_filler.png,42,filler,there were no glitches,1,flowers,susan,NA,sunflowers,flowers,yes,Your friend points to something in the distance (not shown).,NA,0,subj,present,sunflower,18,sunflowers,NA,graduated_high_school,big,NA,english,female,16558,You and your friend see the following:,3,NA,flowers_present,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That sunflower is big.</b>
2955,What do you think your friend is saying it is small relative to?,images/dandelion.png,images/flower-parade-basic.png,42,critical,there were no glitches,1,flowers,susan,NA,dandelions,flowers,yes,Your friend points to something in the distance (not shown).,NA,0,pred,present,dandelion,18,dandelions,NA,graduated_high_school,small,NA,english,female,14386,You and your friend are at a garden store and you see the following:,4,NA,flowers_present,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That present is a small dandelion.</b>
2955,What do you think your friend is saying it is big relative to?,images/doberman_filler.png,images/dog-parade-basic_filler.png,42,filler,there were no glitches,1,dogs1,susan,NA,dobermans,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,pred,service animal,doberman,18,dobermans,NA,graduated_high_school,big,NA,english,female,9391,You and your friend see the following:,5,NA,dogs1_service,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That's a big doberman.</b>
2955,What do you think your friend is saying it is small relative to?,images/bonsai_stick.png,images/tree-parade-basic.png,42,critical,there were no glitches,1,trees,susan,NA,bonsais,trees,yes,Your friend points to something in the distance (not shown).,NA,0,pred,landmark,bonsai,18,trees,NA,graduated_high_school,small,NA,english,female,18107,You and your friend walk to your friend's cabin in a park for the first time. You want to memorize the path and you see the following:,6,NA,trees_landmark,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That landmark is a small bonsai.</b>
2955,What do you think your friend is saying it is small relative to?,images/pug_filler.png,images/dog-parade-basic2_filler2.png,42,filler,there were no glitches,1,dogs2,susan,NA,pugs,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,subj,stray,pug,18,dogs,NA,graduated_high_school,small,NA,english,female,12148,You and your friend see the following:,7,NA,dogs2_stray,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That pug is small.</b>
2955,What do you think your friend is saying it is big relative to?,images/tuna_net.png,images/fish-parade-basic.png,42,critical,there were no glitches,1,fish,susan,NA,tunas,fish,yes,Your friend points to something in the distance (not shown).,NA,0,subj,rescue,tuna,18,tunas,NA,graduated_high_school,big,NA,english,female,15676,You visit your friend who works as a marine biologist and you see the following:,8,NA,fish_rescue,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That big tuna is a rescue.</b>
2955,What do you think your friend is saying it is big relative to?,images/great-dane.png,images/dog-parade-basic2.png,42,critical,there were no glitches,1,dogs2,susan,NA,Great Danes,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,pred,prize-winner,Great Dane,18,dogs,NA,graduated_high_school,big,NA,english,female,10414,You and your friend are at a pet show and you see the following:,9,NA,dogs2_prize,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That prize-winner is a big Great Dane.</b>
2955,What do you think your friend is saying it is big relative to?,images/redwood_filler.png,images/tree-parade-basic_filler.png,42,filler,there were no glitches,1,trees,susan,NA,redwoods,trees,yes,Your friend points to something in the distance (not shown).,NA,0,subj,landmark,redwood,18,trees,NA,graduated_high_school,big,NA,english,female,12896,You and your friend see the following:,10,NA,trees_landmark,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That redwood is big.</b>
2955,What do you think your friend is saying it is big relative to?,images/great-dane-gift.png,images/dog-parade-basic2_stray_wLeash.png,42,critical,there were no glitches,1,dogs2,susan,NA,Great Danes,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,pred,stray,Great Dane,18,Great,NA,graduated_high_school,big,NA,english,female,15966,You and your friend take a walk in the city park and you see the following:,11,NA,dogs2_stray,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That stray is a big Great Dane.</b>
2955,What do you think your friend is saying it is small relative to?,images/chihuahua.png,images/dog-parade-basic.png,42,critical,there were no glitches,1,dogs1,susan,NA,chihuahuas,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,subj,service animal,chihuahua,18,chihuahuas,NA,graduated_high_school,small,NA,english,female,16246,You and your friend are at an animal training ground and you see the following:,12,NA,dogs1_service,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That small chihuahua is a service animal.</b>
2955,What do you think your friend is saying it is small relative to?,images/clownfish_filler.png,images/fish-parade-basic_filler.png,42,filler,there were no glitches,1,fish,susan,NA,clownfish,fish,yes,Your friend points to something in the distance (not shown).,NA,0,pred,rescue,clownfish,18,clownfish,NA,graduated_high_school,small,NA,english,female,10595,You and your friend see the following:,13,NA,fish_rescue,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That's a small clownfish.</b>
2955,What do you think your friend is saying it is small relative to?,images/pug_filler.png,images/dog-parade-basic2_filler.png,42,filler,there were no glitches,1,dogs2,susan,NA,pugs,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,subj,prize-winner,pug,18,pugs,NA,graduated_high_school,small,NA,english,female,6546,You and your friend see the following:,14,NA,dogs2_prize,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That pug is small.</b>
2955,What do you think your friend is saying it is small relative to?,images/stripmall-landmark-filler.png,images/buildings-parade-basic_filler.png,42,filler,there were no glitches,1,buildings,susan,NA,strip malls,buildings,yes,Your friend points to something in the distance (not shown).,NA,0,pred,landmark,strip mall,18,buildings,NA,graduated_high_school,small,NA,english,female,15660,You and your friend see the following:,15,NA,buildings_landmark,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That's a small strip mall.</b>
2955,What do you think your friend is saying it is big relative to?,images/skyscraper-landmark.png,images/buildings-parade-basic.png,42,critical,there were no glitches,1,buildings,susan,NA,skyscrapers,buildings,yes,Your friend points to something in the distance (not shown).,NA,0,subj,landmark,skyscraper,18,buildings,NA,graduated_high_school,big,NA,english,female,13578,You visit your friend who lives in another city. You take a walk and you see the following:,16,NA,buildings_landmark,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That big skyscraper is a landmark.</b>
2954,<i>What do you think Speaker A meant? </i>,NA,NA,42,NA,No,2,NA,barbara,1,NA,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,NA,23,Buildings,NA,NA,NA,comp_class_warmup,English,male,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,1,NA,The Empire State Building is tall relative to other,NA,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2954,What do you think your friend is saying it is big relative to?,images/great-dane_filler.png,images/dog-parade-basic2_filler2.png,42,filler,No,2,dogs2,barbara,NA,Great Danes,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,subj,stray,Great Dane,23,dogs,NA,NA,big,NA,English,male,16394,You and your friend see the following:,1,NA,dogs2_stray,It is big relative to other,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That Great Dane is big.</b>
2954,What do you think your friend is saying it is small relative to?,images/bonsai_filler.png,images/tree-parade-basic_filler.png,42,filler,No,2,trees,barbara,NA,bonsais,trees,yes,Your friend points to something in the distance (not shown).,NA,0,pred,landmark,bonsai,23,trees,NA,NA,small,NA,English,male,16050,You and your friend see the following:,2,NA,trees_landmark,It is small relative to other,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That's a small bonsai.</b>
2954,What do you think your friend is saying it is small relative to?,images/dandelion_filler.png,images/flower-parade-basic_filler.png,42,filler,No,2,flowers,barbara,NA,dandelions,flowers,yes,Your friend points to something in the distance (not shown).,NA,0,subj,landmark,dandelion,23,dandelions,NA,NA,small,NA,English,male,21117,You and your friend see the following:,3,NA,flowers_landmark,It is small relative to other,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That dandelion is small.</b>
2954,What do you think your friend is saying it is small relative to?,images/chihuahua.png,images/dog-parade-basic.png,42,critical,No,2,dogs1,barbara,NA,chihuahuas,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,subj,service animal,chihuahua,23,chihuahuas,NA,NA,small,NA,English,male,19420,You and your friend are at an animal training ground and you see the following:,4,NA,dogs1_service,It is small relative to other,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That small chihuahua is a service animal.</b>
2954,What do you think your friend is saying it is big relative to?,images/doberman_filler.png,images/dog-parade-basic_filler.png,42,filler,No,2,dogs1,barbara,NA,dobermans,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,pred,service animal,doberman,23,dobermans,NA,NA,big,NA,English,male,9101,You and your friend see the following:,5,NA,dogs1_service,It is big relative to other,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That's a big doberman.</b>
2954,What do you think your friend is saying it is big relative to?,images/redwood_sign.png,images/tree-parade-basic.png,42,critical,No,2,trees,barbara,NA,redwoods,trees,yes,Your friend points to something in the distance (not shown).,NA,0,subj,landmark,redwood,23,redwoods,NA,NA,big,NA,English,male,13853,You and your friend walk to your friend's cabin in a park for the first time. You want to memorize the path and you see the following:,6,NA,trees_landmark,It is big relative to other,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That big redwood is a landmark.</b>
2954,What do you think your friend is saying it is big relative to?,images/skyscraper-landmark-filler.png,images/buildings-parade-basic_filler.png,42,filler,No,2,buildings,barbara,NA,skyscrapers,buildings,yes,Your friend points to something in the distance (not shown).,NA,0,pred,landmark,skyscraper,23,skyscrapers,NA,NA,big,NA,English,male,8082,You and your friend see the following:,7,NA,buildings_landmark,It is big relative to other,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That's a big skyscraper.</b>
2954,What do you think your friend is saying it is small relative to?,images/pug-gift.png,images/dog-parade-basic2_stray_wLeash.png,42,critical,No,2,dogs2,barbara,NA,pugs,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,pred,stray,pug,23,pugs,NA,NA,small,NA,English,male,14769,You and your friend take a walk in the city park and you see the following:,8,NA,dogs2_stray,It is small relative to other,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That stray is a small pug.</b>
2954,What do you think your friend is saying it is big relative to?,images/sunflower.png,images/flower-parade-basic.png,42,critical,No,2,flowers,barbara,NA,sunflowers,flowers,yes,Your friend points to something in the distance (not shown).,NA,0,subj,present,sunflower,23,flowers,NA,NA,big,NA,English,male,19584,You and your friend are at a garden store and you see the following:,9,NA,flowers_present,It is big relative to other,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That big sunflower is a present.</b>
2954,What do you think your friend is saying it is big relative to?,images/eagle_filler.png,images/bird-parade-basic_filler.png,42,filler,No,2,birds,barbara,NA,eagles,birds,yes,Your friend points to something in the distance (not shown).,NA,0,subj,rescue,eagle,23,eagles,NA,NA,big,NA,English,male,9651,You and your friend see the following:,10,NA,birds_rescue,It is big relative to other,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That eagle is big.</b>
2954,What do you think your friend is saying it is big relative to?,images/doberman-rescue.png,images/dog-parade-basic-rescue.png,42,critical,No,2,dogs1,barbara,NA,dobermans,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,pred,rescue,doberman,23,dobermans,NA,NA,big,NA,English,male,10434,You visit your friend who works at an animal shelter and you see the following:,11,NA,dogs1_rescue,It is big relative to other,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That rescue is a big doberman.</b>
2954,What do you think your friend is saying it is small relative to?,images/chihuahua_filler.png,images/dog-parade-basic_filler.png,42,filler,No,2,dogs1,barbara,NA,chihuahuas,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,subj,rescue,chihuahua,23,chihuahuas,NA,NA,small,NA,English,male,8634,You and your friend see the following:,12,NA,dogs1_rescue,It is small relative to other,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That chihuahua is small.</b>
2954,What do you think your friend is saying it is small relative to?,images/hummingbird.png,images/bird-parade-basic.png,42,critical,No,2,birds,barbara,NA,hummingbirds,birds,yes,Your friend points to something in the distance (not shown).,NA,0,pred,rescue,hummingbird,23,hummingbirds,NA,NA,small,NA,English,male,8368,You visit your friend who works at an animal shelter and you see the following:,13,NA,birds_rescue,It is small relative to other,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That rescue is a small hummingbird.</b>
2954,What do you think your friend is saying it is small relative to?,images/stripmall-landmark.png,images/buildings-parade-basic.png,42,critical,No,2,buildings,barbara,NA,strip malls,buildings,yes,Your friend points to something in the distance (not shown).,NA,0,subj,landmark,strip mall,23,strip,NA,NA,small,NA,English,male,13087,You visit your friend who lives in another city. You take a walk and you see the following:,14,NA,buildings_landmark,It is small relative to other,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That small strip mall is a landmark.</b>
2954,What do you think your friend is saying it is small relative to?,images/dandelion_filler.png,images/flower-parade-basic_filler.png,42,filler,No,2,flowers,barbara,NA,dandelions,flowers,yes,Your friend points to something in the distance (not shown).,NA,0,pred,present,dandelion,23,dandelions,NA,NA,small,NA,English,male,8398,You and your friend see the following:,15,NA,flowers_present,It is small relative to other,NA,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That's a small dandelion.</b>
2954,What do you think your friend is saying it is big relative to?,images/sunflower-landmark.png,images/flower-parade-basic-landmark.png,42,critical,No,2,flowers,barbara,NA,sunflowers,flowers,yes,Your friend points to something in the distance (not shown).,NA,0,pred,landmark,sunflower,23,flowers,NA,NA,big,NA,English,male,13923,You and your friend walk to a cabin you are renting for the weekend for the first time. You go along the path and you see the following:,16,NA,flowers_landmark,It is big relative to other,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That landmark is a big sunflower.</b>
2953,<i>What do you think Speaker A meant? </i>,NA,NA,42,NA,NA,1,NA,jessica,1,NA,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,NA,24,buildings,NA,graduated_college,NA,comp_class_warmup,English,female,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,1,NA,The Empire State Building is tall relative to other,1.1,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2953,What do you think your friend is saying it is small relative to?,images/chihuahua.png,images/dog-parade-basic.png,42,critical,NA,1,dogs1,jessica,NA,chihuahuas,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,pred,service animal,chihuahua,24,dogs,NA,graduated_college,small,NA,English,female,14372,You and your friend are at an animal training ground and you see the following:,1,NA,dogs1_service,It is small relative to other,1.1,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That service animal is a small chihuahua.</b>
2953,What do you think your friend is saying it is small relative to?,images/pug_filler.png,images/dog-parade-basic2_filler.png,42,filler,NA,1,dogs2,jessica,NA,pugs,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,subj,prize-winner,pug,24,pugs,NA,graduated_college,small,NA,English,female,13234,You and your friend see the following:,2,NA,dogs2_prize,It is small relative to other,1.1,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That pug is small.</b>
2953,What do you think your friend is saying it is big relative to?,images/great-dane.png,images/dog-parade-basic2.png,42,critical,NA,1,dogs2,jessica,NA,Great Danes,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,pred,prize-winner,Great Dane,24,Great,NA,graduated_college,big,NA,English,female,13005,You and your friend are at a pet show and you see the following:,3,NA,dogs2_prize,It is big relative to other,1.1,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That prize-winner is a big Great Dane.</b>
