trial_name,trial_number,attempts,response1,response2,response3,picture1,picture2,item,correct3,text,question1,question2,question3,response,name,trials,context,sentence,question,paraphrase,correct,RT,trial_type,context_picture,target_picture,target,target_size,ref_np,adj,adj_cond,syntax,utterance,workerid,startDate,startTime,botresponse,understand,age,sex,education,languages,enjoyment,problems,fairprice,comments,experiment_id
custom_main_text2,2,NA,"NA","NA","NA","NA","NA",dogs2,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",dogs,"NA",NA,You and your friend are at a pet show and you see the following:,"NA",What do you think your friend is saying it is big relative to?,It is big relative to other ,"NA",12631,critical,images/dog-parade-basic2.png,images/great-dane.png,Great Dane,big,prize-winner,big,congruent,pred,Your friend says: <br/><b>That prize-winner is a big Great Dane.</b>,workerid_0001,Tue Jun 23 2020 12:42:39 GMT-0500 (Central Daylight Time),1592934159072,jessica,yes,39,female,graduated_college,English,2,all good,1,thank you,35
custom_main_text2,3,NA,"NA","NA","NA","NA","NA",birds,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",hummingbirds,"NA",NA,You and your friend see the following:,"NA",What do you think your friend is saying it is small relative to?,It is small relative to other ,"NA",10920,filler,images/bird-parade-basic_filler.png,images/hummingbird_filler.png,hummingbird,small,rescue,small,congruent,pred,Your friend says: <br/><b>That's a small hummingbird.</b>,workerid_0001,Tue Jun 23 2020 12:42:39 GMT-0500 (Central Daylight Time),1592934159072,jessica,yes,39,female,graduated_college,English,2,all good,1,thank you,35
custom_main_text2,4,NA,"NA","NA","NA","NA","NA",birds,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",eagles,"NA",NA,You visit your friend who works at an animal shelter and you see the following:,"NA",What do you think your friend is saying it is big relative to?,It is big relative to other ,"NA",11975,critical,images/bird-parade-basic.png,images/eagle.png,eagle,big,rescue,big,congruent,subj,Your friend says: <br/><b>That big eagle is a rescue.</b>,workerid_0001,Tue Jun 23 2020 12:42:39 GMT-0500 (Central Daylight Time),1592934159072,jessica,yes,39,female,graduated_college,English,2,all good,1,thank you,35
warmup1,1,1,great dane,pug,dogs,warmup/great-dane2.png,warmup/pug2.png,dogs2,dogs,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0002,Tue Jun 23 2020 12:46:17 GMT-0500 (Central Daylight Time),1592934377810,linda,yes,52,male,higher_degree,English,1,No,1.00,,35
warmup1,2,1,eagle,hummingbird,birds,warmup/eagle2.png,warmup/hummingbird2.png,birds,birds,Please label the pictures below.,This is a ,These are both ,This is an ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0002,Tue Jun 23 2020 12:46:17 GMT-0500 (Central Daylight Time),1592934377810,linda,yes,52,male,higher_degree,English,1,No,1.00,,35
comp_class_warmup,1,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",buildings,comp_class_warmup,1,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,"<b> Speaker A: ""The Empire State Building is tall.""</b>",<i>What do you think Speaker A meant? </i>,The Empire State Building is tall relative to other ,"buildings, skyscrapers, houses, constructions (choose one)",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0002,Tue Jun 23 2020 12:46:17 GMT-0500 (Central Daylight Time),1592934377810,linda,yes,52,male,higher_degree,English,1,No,1.00,,35
custom_main_text1,1,NA,"NA","NA","NA","NA","NA",birds,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",eagles,"NA",NA,You and your friend see the following:,"NA",What do you think your friend is saying it is big relative to?,It is big relative to other ,"NA",15473,filler,images/bird-parade-basic_filler.png,images/eagle_filler.png,eagle,big,rescue,big,congruent,pred,Your friend says: <br/><b>That's a big eagle.</b>,workerid_0002,Tue Jun 23 2020 12:46:17 GMT-0500 (Central Daylight Time),1592934377810,linda,yes,52,male,higher_degree,English,1,No,1.00,,35
custom_main_text1,2,NA,"NA","NA","NA","NA","NA",dogs2,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",great dane,"NA",NA,You and your friend are at a pet show and you see the following:,"NA",What do you think your friend is saying it is big relative to?,It is big relative to other ,"NA",19533,critical,images/dog-parade-basic2.png,images/great-dane.png,Great Dane,big,prize-winner,big,congruent,pred,Your friend says: <br/><b>That prize-winner is a big Great Dane.</b>,workerid_0002,Tue Jun 23 2020 12:46:17 GMT-0500 (Central Daylight Time),1592934377810,linda,yes,52,male,higher_degree,English,1,No,1.00,,35
custom_main_text1,3,NA,"NA","NA","NA","NA","NA",birds,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",hummingbirds,"NA",NA,You visit your friend who works at an animal shelter and you see the following:,"NA",What do you think your friend is saying it is small relative to?,It is small relative to other ,"NA",19559,critical,images/bird-parade-basic.png,images/hummingbird.png,hummingbird,small,rescue,small,congruent,subj,Your friend says: <br/><b>That small hummingbird is a rescue.</b>,workerid_0002,Tue Jun 23 2020 12:46:17 GMT-0500 (Central Daylight Time),1592934377810,linda,yes,52,male,higher_degree,English,1,No,1.00,,35
custom_main_text1,4,NA,"NA","NA","NA","NA","NA",dogs2,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",pugs,"NA",NA,You and your friend see the following:,"NA",What do you think your friend is saying it is small relative to?,It is small relative to other ,"NA",6535,filler,images/dog-parade-basic2_filler.png,images/pug_filler.png,pug,small,prize-winner,small,congruent,subj,Your friend says: <br/><b>That pug is small.</b>,workerid_0002,Tue Jun 23 2020 12:46:17 GMT-0500 (Central Daylight Time),1592934377810,linda,yes,52,male,higher_degree,English,1,No,1.00,,35
warmup2,1,1,redwood,bonsai,trees,warmup/redwood2.png,warmup/bonsai2.png,trees,trees,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0002,Tue Jun 23 2020 12:46:17 GMT-0500 (Central Daylight Time),1592934377810,linda,yes,52,male,higher_degree,English,1,No,1.00,,35
warmup2,2,1,sunflower,dandylion,flowers,warmup/sunflower2.png,warmup/dandelion2.png,flowers,flowers,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0002,Tue Jun 23 2020 12:46:17 GMT-0500 (Central Daylight Time),1592934377810,linda,yes,52,male,higher_degree,English,1,No,1.00,,35
warmup2,2,2,sunflower,dandelion,flowers,warmup/sunflower2.png,warmup/dandelion2.png,flowers,flowers,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0002,Tue Jun 23 2020 12:46:17 GMT-0500 (Central Daylight Time),1592934377810,linda,yes,52,male,higher_degree,English,1,No,1.00,,35
custom_main_text2,1,NA,"NA","NA","NA","NA","NA",trees,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",bonsai,"NA",NA,You and your friend see the following:,"NA",What do you think your friend is saying it is small relative to?,It is small relative to other ,"NA",8602,filler,images/tree-parade-basic_filler.png,images/bonsai_filler.png,bonsai,small,landmark,small,congruent,pred,Your friend says: <br/><b>That's a small bonsai.</b>,workerid_0002,Tue Jun 23 2020 12:46:17 GMT-0500 (Central Daylight Time),1592934377810,linda,yes,52,male,higher_degree,English,1,No,1.00,,35
custom_main_text2,2,NA,"NA","NA","NA","NA","NA",flowers,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",sunflower,"NA",NA,You and your friend see the following:,"NA",What do you think your friend is saying it is big relative to?,It is big relative to other ,"NA",7509,filler,images/flower-parade-basic_filler.png,images/sunflower_filler.png,sunflower,big,gift,big,congruent,subj,Your friend says: <br/><b>That sunflower is big.</b>,workerid_0002,Tue Jun 23 2020 12:46:17 GMT-0500 (Central Daylight Time),1592934377810,linda,yes,52,male,higher_degree,English,1,No,1.00,,35
custom_main_text2,3,NA,"NA","NA","NA","NA","NA",trees,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",landmark,"NA",NA,You and your friend walk to your friend's cabin in a park for the first time. You want to memorize the path and you see the following:,"NA",What do you think your friend is saying it is big relative to?,It is big relative to other ,"NA",25646,critical,images/tree-parade-basic.png,images/redwood_sign.png,redwood,big,landmark,big,congruent,subj,Your friend says: <br/><b>That big redwood is a landmark.</b>,workerid_0002,Tue Jun 23 2020 12:46:17 GMT-0500 (Central Daylight Time),1592934377810,linda,yes,52,male,higher_degree,English,1,No,1.00,,35
custom_main_text2,4,NA,"NA","NA","NA","NA","NA",flowers,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",gift,"NA",NA,You and your friend are at their garden and you see the following:,"NA",What do you think your friend is saying it is small relative to?,It is small relative to other ,"NA",14218,critical,images/flower-parade-basic.png,images/dandelion.png,dandelion,small,gift,small,congruent,pred,Your friend says: <br/><b>That gift is a small dandelion.</b>,workerid_0002,Tue Jun 23 2020 12:46:17 GMT-0500 (Central Daylight Time),1592934377810,linda,yes,52,male,higher_degree,English,1,No,1.00,,35
warmup1,1,1,doderman,chihuhua,dogs,warmup/doberman2.png,warmup/chihuahua2.png,dogs1,dogs,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
warmup1,1,2,doberman,chihuahua,dogs,warmup/doberman2.png,warmup/chihuahua2.png,dogs1,dogs,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
warmup1,2,1,redwood,bonsai,"trees
trees",warmup/redwood2.png,warmup/bonsai2.png,trees,trees,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
warmup1,2,2,redwood,bonsai,trees,warmup/redwood2.png,warmup/bonsai2.png,trees,trees,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
comp_class_warmup,1,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",buildings,comp_class_warmup,1,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,"<b> Speaker A: ""The Empire State Building is tall.""</b>",<i>What do you think Speaker A meant? </i>,The Empire State Building is tall relative to other ,"buildings, skyscrapers, houses, constructions (choose one)",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
custom_main_text1,1,NA,"NA","NA","NA","NA","NA",trees,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",trees,"NA",NA,You and your friend see the following:,"NA",What do you think your friend is saying it is small relative to?,It is small relative to other ,"NA",12805,filler,images/tree-parade-basic_filler.png,images/bonsai_filler.png,bonsai,small,landmark,small,congruent,subj,Your friend says: <br/><b>That bonsai is small.</b>,workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
custom_main_text1,2,NA,"NA","NA","NA","NA","NA",dogs1,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",dogs,"NA",NA,You and your friend see the following:,"NA",What do you think your friend is saying it is big relative to?,It is big relative to other ,"NA",11181,filler,images/dog-parade-basic_filler.png,images/doberman_filler.png,doberman,big,service-animal,big,congruent,pred,Your friend says: <br/><b>That's a big doberman.</b>,workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
custom_main_text1,3,NA,"NA","NA","NA","NA","NA",dogs1,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",dogs,"NA",NA,You and your friend are at an animal training ground and you see the following:,"NA",What do you think your friend is saying it is small relative to?,It is small relative to other ,"NA",13257,critical,images/dog-parade-basic.png,images/chihuahua.png,chihuahua,small,service-animal,small,congruent,subj,Your friend says: <br/><b>That small chihuahua is a service-animal.</b>,workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
custom_main_text1,4,NA,"NA","NA","NA","NA","NA",trees,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",trees,"NA",NA,You and your friend walk to your friend's cabin in a park for the first time. You want to memorize the path and you see the following:,"NA",What do you think your friend is saying it is big relative to?,It is big relative to other ,"NA",14298,critical,images/tree-parade-basic.png,images/redwood_sign.png,redwood,big,landmark,big,congruent,pred,Your friend says: <br/><b>That landmark is a big redwood.</b>,workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
warmup2,1,1,pug,great dane,dogs,warmup/pug2.png,warmup/great-dane2.png,dogs2,dogs,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
warmup2,2,1,dandelion,sunflower,flowers,warmup/dandelion2.png,warmup/sunflower2.png,flowers,flowers,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
custom_main_text2,1,NA,"NA","NA","NA","NA","NA",flowers,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",flowers,"NA",NA,You and your friend see the following:,"NA",What do you think your friend is saying it is big relative to?,It is big relative to other ,"NA",8518,filler,images/flower-parade-basic_filler.png,images/sunflower_filler.png,sunflower,big,gift,big,congruent,subj,Your friend says: <br/><b>That sunflower is big.</b>,workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
custom_main_text2,2,NA,"NA","NA","NA","NA","NA",dogs2,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",pugs,"NA",NA,You and your friend see the following:,"NA",What do you think your friend is saying it is small relative to?,It is small relative to other ,"NA",10200,filler,images/dog-parade-basic2_filler.png,images/pug_filler.png,pug,small,prize-winner,small,congruent,pred,Your friend says: <br/><b>That's a small pug.</b>,workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
custom_main_text2,3,NA,"NA","NA","NA","NA","NA",dogs2,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",dogs,"NA",NA,You and your friend are at a pet show and you see the following:,"NA",What do you think your friend is saying it is big relative to?,It is big relative to other ,"NA",19714,critical,images/dog-parade-basic2.png,images/great-dane.png,Great Dane,big,prize-winner,big,congruent,subj,Your friend says: <br/><b>That big Great Dane is a prize-winner.</b>,workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
custom_main_text2,4,NA,"NA","NA","NA","NA","NA",flowers,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",dandelions,"NA",NA,You and your friend are at their garden and you see the following:,"NA",What do you think your friend is saying it is small relative to?,It is small relative to other ,"NA",16351,critical,images/flower-parade-basic.png,images/dandelion.png,dandelion,small,gift,small,congruent,pred,Your friend says: <br/><b>That gift is a small dandelion.</b>,workerid_0003,Tue Jun 23 2020 13:50:13 GMT-0400 (Eastern Daylight Time),1592934613630,mary,yes,37,female,some_college,English,2,no,1.00,none,35
warmup1,1,1,dandelion,sunflower,flowers,warmup/dandelion2.png,warmup/sunflower2.png,flowers,flowers,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0004,Tue Jun 23 2020 13:02:47 GMT-0500 (Central Daylight Time),1592935367298,elizabeth,yes,45,female,some_college,english,1,no,1,,35
warmup1,2,1,bonsai,redwood,trees,warmup/bonsai2.png,warmup/redwood2.png,trees,trees,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0004,Tue Jun 23 2020 13:02:47 GMT-0500 (Central Daylight Time),1592935367298,elizabeth,yes,45,female,some_college,english,1,no,1,,35
comp_class_warmup,1,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",buildings,comp_class_warmup,1,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,"<b> Speaker A: ""The Empire State Building is tall.""</b>",<i>What do you think Speaker A meant? </i>,The Empire State Building is tall relative to other ,"buildings, skyscrapers, houses, constructions (choose one)",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0004,Tue Jun 23 2020 13:02:47 GMT-0500 (Central Daylight Time),1592935367298,elizabeth,yes,45,female,some_college,english,1,no,1,,35
custom_main_text1,1,NA,"NA","NA","NA","NA","NA",trees,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",trees,"NA",NA,You and your friend see the following:,"NA",What do you think your friend is saying it is big relative to?,It is big relative to other ,"NA",16241,filler,images/tree-parade-basic_filler.png,images/redwood_filler.png,redwood,big,landmark,big,congruent,pred,Your friend says: <br/><b>That's a big redwood.</b>,workerid_0004,Tue Jun 23 2020 13:02:47 GMT-0500 (Central Daylight Time),1592935367298,elizabeth,yes,45,female,some_college,english,1,no,1,,35
custom_main_text1,2,NA,"NA","NA","NA","NA","NA",flowers,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",flowers,"NA",NA,You and your friend see the following:,"NA",What do you think your friend is saying it is small relative to?,It is small relative to other ,"NA",23455,filler,images/flower-parade-basic_filler.png,images/dandelion_filler.png,dandelion,small,gift,small,congruent,pred,Your friend says: <br/><b>That's a small dandelion.</b>,workerid_0004,Tue Jun 23 2020 13:02:47 GMT-0500 (Central Daylight Time),1592935367298,elizabeth,yes,45,female,some_college,english,1,no,1,,35
custom_main_text1,3,NA,"NA","NA","NA","NA","NA",flowers,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",sunflowers,"NA",NA,You and your friend are at their garden and you see the following:,"NA",What do you think your friend is saying it is big relative to?,It is big relative to other ,"NA",19208,critical,images/flower-parade-basic.png,images/sunflower.png,sunflower,big,gift,big,congruent,subj,Your friend says: <br/><b>That big sunflower is a gift.</b>,workerid_0004,Tue Jun 23 2020 13:02:47 GMT-0500 (Central Daylight Time),1592935367298,elizabeth,yes,45,female,some_college,english,1,no,1,,35
custom_main_text1,4,NA,"NA","NA","NA","NA","NA",trees,"NA",Your friend goes ahead of you. You see your friend in the distance:,"NA","NA","NA",bonsais,"NA",NA,You and your friend walk to your friend's cabin in a park for the first time. You want to memorize the path and you see the following:,"NA",What do you think your friend is saying it is small relative to?,It is small relative to other ,"NA",31089,critical,images/tree-parade-basic.png,images/bonsai_stick.png,bonsai,small,landmark,small,congruent,subj,Your friend says: <br/><b>That small bonsai is a landmark.</b>,workerid_0004,Tue Jun 23 2020 13:02:47 GMT-0500 (Central Daylight Time),1592935367298,elizabeth,yes,45,female,some_college,english,1,no,1,,35
warmup2,1,1,eagle,hummingbird,birds,warmup/eagle2.png,warmup/hummingbird2.png,birds,birds,Please label the pictures below.,This is a ,These are both ,This is an ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0004,Tue Jun 23 2020 13:02:47 GMT-0500 (Central Daylight Time),1592935367298,elizabeth,yes,45,female,some_college,english,1,no,1,,35
warmup2,2,1,doberman,chihuaua,dogs,warmup/doberman2.png,warmup/chihuahua2.png,dogs1,dogs,Please label the pictures below.,This is a ,These are both ,This is a ,"NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",workerid_0004,Tue Jun 23 2020 13:02:47 GMT-0500 (Central Daylight Time),1592935367298,elizabeth,yes,45,female,some_college,english,1,no,1,,35
